origin;-;baidu;-;google;-;bing;-;Label
The old rule started to seem dated and out of place .;-;旧规则开始显得过时和不合适。;-;旧规则开始显得过时和格格不入。;-;旧规则开始显得过时和不合时宜。;-;1-2;1-3;2-3
He was still an asterisk in most polling .;-;在大多数民调中，他仍然是一个星号。;-;在大多数民意调查中，他仍然是一个星号。;-;在大多数民意调查中，他仍然是一个星号。;-;1-2;1-3;2-3
Asians represented 12 % of the students at the selective public schools and just 5 % at the less selective institutions .;-;在选择性公立学校，亚裔学生占学生总数的12%，而在选择性较差的学校，亚裔学生仅占5%。;-;亚洲人在精英公立学校的学生中占12%，而在较少精英学校的学生中仅占5%。;-;在选择性公立学校的学生中，亚裔占12%，在选择性较低的机构中，亚裔仅占5%。;-;1x2;1x3;2x3
But after being sued by attorneys general from 18 states and the District of Columbia , a court ordered DeVos to implement the rule and forgive $ 150 million in student debt .;-;但在被来自18个州和哥伦比亚特区的总检察长起诉后，一家法院命令德沃斯执行这项规定，免除1.5亿美元的学生债务。;-;但在被来自18个州和哥伦比亚特区的总检察长起诉后，一家法院命令DeVos执行该规则并免除1.5亿美元的学生债务。;-;但在被来自18个州和哥伦比亚特区的司法部长起诉后，法院命令德沃斯实施该规则并免除1.5亿美元的学生债务。;-;1-2;1-3;2-3
But what Trump ' s comments about McCain should remind us of is this : Whether there is political gain to be found in dishonoring a lifelong public servant , it is simply wrong .;-;但特朗普关于麦凯恩的评论应该提醒我们的是：羞辱终身公务员是否有政治利益，这完全是错误的。;-;但特朗普对麦凯恩的评论应该提醒我们的是：羞辱终身公务员是否有政治利益，这是完全错误的。;-;但特朗普对麦凯恩的评论应该提醒我们的是：羞辱一个终身公务员是否有政治利益，这完全是错误的。;-;1-2;1-3;2-3
In public schools , the fight may center on other fronts .;-;在公立学校，斗争可能集中在其他方面。;-;在公立学校，斗争可能集中在其他方面。;-;在公立学校，斗争可能集中在其他方面。;-;1-2;1-3;2-3
Young people of color became a majority of K 12 public school students in 2014 .;-;2014年，有色人种青年成为K12公立学校学生的大多数。;-;2014年，有色人种成为K12公立学校学生的大多数。;-;2014年，有色人种的年轻人成为K12公立学校学生的大多数。;-;1-3;1x2;2x3
Ultimately , Preap was released from immigration custody but he remains the lead plaintiff for a class of others with similar complaints .;-;最终，普雷普从移民局的拘留中获释，但他仍然是其他一类类似投诉的主要原告。;-;最终，Preap被从移民拘留所释放，但他仍然是其他有类似投诉的一类人的主要原告。;-;最终，Preap被释放出移民拘留所，但他仍然是其他一类有类似投诉的人的主要原告。;-;1-2;1-3;2-3
But only 6 % of them attend private institutions , and though the elite University of California system has significantly increased its Latino enrollment , just 4 % attend one of those campuses .;-;但只有6%的人就读于私立学校，尽管精英加利福尼亚大学系统显著增加了拉丁裔的入学率，但只有4%的学生就读于其中一个校区。;-;但他们中只有6%的人就读于私立机构，尽管精英加州大学系统显着增加了拉丁裔的入学率，但只有4%的人就读于其中一个校园。;-;但其中只有6%的人就读于私立院校，尽管加州大学的精英系统大幅增加了拉丁裔入学率，但只有4%的人就读于其中一所大学。;-;1-2;1-3;2-3
The named plaintiff , Mony Preap , was born in a refugee camp after his family fled Cambodia ' s Khmer Rouge .;-;原告MonyPreap在其家人逃离柬埔寨红色高棉后出生于一个难民营。;-;原告名为MonyPreap，他的家人逃离柬埔寨的红色高棉后，出生在一个难民营。;-;原告莫尼·普雷普在他的家人逃离柬埔寨的红色高棉后出生在一个难民营。;-;1-2;1-3;2-3
It ' s certainly true that the number of manufacturing jobs has increased .;-;制造业工作岗位的数量确实增加了。;-;制造业工作岗位的数量确实增加了。;-;制造业就业岗位的数量确实增加了。;-;1-2;1-3;2-3
Here ' s what I know : These latest comments will cause zero erosion in Trump ' s support among his hardcore backers .;-;以下是我所知道的：这些最新评论将使特朗普在其铁杆支持者中的支持率零下降。;-;这是我所知道的：这些最新的评论将导致特朗普在他的铁杆支持者中的支持率为零。;-;以下是我所知道的：这些最新的评论将导致特朗普在他的铁杆支持者中的支持率零下降。;-;1-3;1x2;2x3
The two men have also both taken advice from Steve Bannon , the former White House senior adviser who broke with Trump after leaving the White House in 2017 .;-;这两人还都听取了前白宫高级顾问史蒂夫·班农的建议。班农在2017年离开白宫后与特朗普分手。;-;两人还都听取了2017年离开白宫后与特朗普决裂的前白宫高级顾问史蒂夫班农的建议。;-;这两人还听取了前白宫高级顾问史蒂夫·班农的建议，后者在2017年离开白宫后与特朗普决裂。;-;1-2;1-3;2-3
And he pointed out that Toyota , the Japanese company , is investing in the US by opening new plants .;-;他还指出，日本公司丰田正在美国投资，开设新工厂。;-;他指出，日本公司丰田正在通过开设新工厂的方式在美国投资。;-;他指出，日本丰田公司正在通过开设新工厂在美国进行投资。;-;1-2;1-3;2-3
The proposals came out of the National Council for the American Worker , which President Donald Trump created last year .;-;这些提议来自唐纳德·特朗普总统去年创建的美国工人全国委员会。;-;这些提案来自唐纳德特朗普总统去年创建的美国工人全国委员会。;-;这些提案来自美国工人全国委员会，这是唐纳德·特朗普总统去年创建的。;-;1-2;1-3;2-3
The most elite public universities admit a considerably larger percentage of students from lower income backgrounds than do the elite private schools .;-;与精英私立学校相比，大多数精英公立大学录取的低收入学生比例要高得多。;-;与精英私立学校相比，最精英的公立大学招收的来自低收入背景的学生比例要高得多。;-;与精英私立学校相比，最精英的公立大学录取来自低收入背景的学生比例要高得多。;-;2-3;1x2;1x3
Looking back at the experience of a lifetime , Draper says he accomplished what he set out to do during his eight years with Bush .;-;回顾一生的经历，德雷珀说，他在布什的八年任期内实现了自己的目标。;-;回顾一生的经历，德雷珀说，他在与布什共事的八年中完成了他打算做的事情。;-;回顾一生的经历，德雷珀说，他在与布什的八年里完成了他打算做的事情。;-;2-3;1x2;1x3
Entering talks , Brazil hoped to see itself elevated to major non NATO ally status by the Trump administration , a major step that would help it purchase military equipment .;-;在参加谈判时，巴西希望看到特朗普政府将自己提升为主要的非北约盟友，这是有助于其购买军事装备的重要一步。;-;进入谈判后，巴西希望特朗普政府将自己提升为主要的非北约盟友地位，这是有助于其购买军事装备的重要一步。;-;进入谈判后，巴西希望看到自己被特朗普政府提升到主要的非北约盟友地位，这是帮助其购买军事装备的重要一步。;-;1-2;1-3;2-3
It was his tariffs on steel and aluminum that caused frustration between Trump and Harley Davidson , the iconic American motorcycle manufacturer based in Wisconsin .;-;正是他的钢铁和铝关税让特朗普和总部位于威斯康星州的标志性美国摩托车制造商哈雷·戴维森感到失望。;-;正是他对钢铁和铝征收的关税引起了特朗普和总部位于威斯康星州的标志性美国摩托车制造商哈雷戴维森之间的挫败感。;-;正是他对钢铁和铝的关税引起了特朗普和总部位于威斯康星州的标志性美国摩托车制造商哈雷戴维森之间的挫败感。;-;2-3;1x2;1x3
His trip to Washington was Bolsonaro ' s first overseas bilateral visit , an honor White House officials say illustrates the new president ' s commitment to fostering US ties .;-;布尔索纳罗的华盛顿之行是他的首次海外双边访问，白宫官员说，这一荣誉表明了新总统对促进美国关系的承诺。;-;他的华盛顿之行是博尔索纳罗的首次海外双边访问，白宫官员称这一荣誉表明新总统致力于促进美国关系。;-;他的华盛顿之行是博尔索纳罗的首次海外双边访问，白宫官员称这一荣誉说明了新总统对促进美国关系的承诺。;-;2-3;1x2;1x3
Today , I am more worried about the ability of bad guys to hijack our networks than their ability to hijack our flights , she said .;-;她说：“今天，我更担心坏人劫持我们网络的能力，而不是他们劫持我们航班的能力。”。;-;她说，今天，我更担心坏人劫持我们网络的能力，而不是他们劫持我们航班的能力。;-;她说，今天，我更担心坏人劫持我们网络的能力，而不是他们劫持我们航班的能力。;-;1-2;1-3;2-3
And our country would 've saved a trillion dollars and we would 've had great healthcare .;-;我们的国家会节省一万亿美元，我们会有很好的医疗保健。;-;我们的国家会节省一万亿美元，我们会有很好的医疗保健。;-;我们的国家将节省一万亿美元，我们将拥有良好的医疗保健。;-;1-2;1-3;2-3
But the owner of Carrier , United Technologies , said it would still move some production to Mexico .;-;但航母联合技术公司的所有者表示，该公司仍将把部分生产转移到墨西哥。;-;但运营商联合技术公司的所有者表示，它仍会将部分生产线转移到墨西哥。;-;但开利的所有者联合技术公司表示，仍将将一些生产转移到墨西哥。;-;1x2;1x3;2x3
Draper spent eight Christmases with the Bush family and became very close with them .;-;德雷珀与布什一家共度了八个圣诞节，并与他们关系密切。;-;德雷珀与布什一家共度了八个圣诞节，并与他们关系密切。;-;德雷珀与布什家族度过了八个圣诞节，并与他们变得非常亲密。;-;1-2;1x3;2x3
But those schools represent only a small sliver of the higher education landscape .;-;但这些学校只代表了高等教育领域的一小部分。;-;但这些学校只占高等教育领域的一小部分。;-;但这些学校只代表了高等教育领域的一小部分。;-;1-2;1-3;2-3
Mueller ' s team then handed over that data to the Manhattan federal prosecutors , and the Manhattan prosecutors also sought additional information filtered out of the Mueller searches .;-;穆勒的团队随后将这些数据移交给曼哈顿联邦检察官，曼哈顿检察官还寻求从穆勒的搜索中过滤出来的其他信息。;-;穆勒的团队随后将这些数据交给了曼哈顿联邦检察官，曼哈顿检察官还寻求从穆勒搜索中过滤出的其他信息。;-;穆勒的团队随后将这些数据交给了曼哈顿联邦检察官，曼哈顿检察官还寻求从穆勒搜索中过滤掉的其他信息。;-;1-2;1-3;2-3
The threatened tariffs led to the European Union pledging countertariffs .;-;关税威胁导致欧盟承诺反关税。;-;受到威胁的关税导致欧盟承诺实施反关税。;-;威胁的关税导致欧盟承诺反关税。;-;1-2;1-3;2-3
Draper , a self described kid from South Central Los Angeles whose life was already at a peak , was not sure it was even a possibility .;-;德雷珀自称是洛杉矶中南部的一个孩子，他的生活已经达到顶峰，他甚至不确定这是否有可能。;-;德雷珀，一个自称来自洛杉矶中南部的孩子，他的生活已经达到了顶峰，他甚至不确定这是否有可能。;-;德雷珀是一个来自洛杉矶中南部的自称孩子，他的生活已经处于巅峰状态，他不确定这是否可能。;-;1-2;1x3;2x3
In a world of perceived foes , Trump has often looked to leaders who mimic his own brashness and disregard for political norms as allies .;-;在一个被视为敌人的世界里，特朗普经常把目光投向那些模仿自己鲁莽、无视政治规范的盟友。;-;在一个被视为敌人的世界里，特朗普经常将那些模仿自己的鲁莽和无视政治规范的领导人视为盟友。;-;在一个被视为敌人的世界里，特朗普经常把那些模仿他自己的傲慢和无视政治规范的领导人视为盟友。;-;2-3;1x2;1x3
Somebody said it reminded them a little bit of our campaign , he said of Bolsonaro ' s effort , which I am honored by .;-;有人说这让他们想起了我们的竞选活动，他谈到了博尔索纳罗的努力，我对此感到荣幸。;-;有人说这让他们想起了我们的竞选活动，他谈到了博尔索纳罗的努力，我对此感到很荣幸。;-;有人说这让他们想起了我们的竞选活动，他说博尔索纳罗的努力，我对此感到荣幸。;-;1-2;1-3;2-3
There actually have been more manufacturing job openings recently than people to fill them , according to data from the Bureau of Labor Statistics .;-;根据美国劳工统计局的数据，最近制造业的职位空缺实际上比填补空缺的人数还要多。;-;根据美国劳工统计局的数据，最近制造业的职位空缺实际上比填补职位空缺的人数要多。;-;根据美国劳工统计局的数据，最近制造业职位空缺实际上比填补这些职位空缺的人还多。;-;1-2;1-3;2-3
It ' s an amazing story but I always knew there was an end to it .;-;这是一个惊人的故事，但我一直知道它有一个结局。;-;这是一个了不起的故事，但我一直都知道它会有尽头。;-;这是一个了不起的故事，但我一直都知道它有尽头。;-;2-3;1x2;1x3
I think the likelihood that it passes is pretty good in 2022 or 2024 , and we should prepare for its passage , he said .;-;他说：“我认为它在2022年或2024年通过的可能性相当大，我们应该为它的通过做好准备。”。;-;他说，我认为它在2022年或2024年通过的可能性很大，我们应该为它的通过做好准备。;-;他说，我认为它在2022年或2024年通过的可能性相当大，我们应该为它的通过做好准备。;-;1-2;1-3;2-3
Legalizing recreational marijuana in Florida will likely be on the ballot in upcoming elections , says Brandes , one of the legislators behind the medical marijuana law .;-;支持医用大麻法的议员之一布兰德斯说，在即将到来的选举中，佛罗里达州休闲大麻的合法化很可能会出现在选票上。;-;医用大麻法背后的立法者之一布兰德斯说，佛罗里达州的休闲大麻合法化可能会在即将举行的选举中进行投票。;-;在佛罗里达州将休闲大麻合法化可能会在即将到来的选举中投票，布兰德斯说，他是医用大麻法背后的立法者之一。;-;2-3;1x2;1x3
Border security and immigration have dominated the department ' s attention and public messaging in recent months .;-;近几个月来，边境安全和移民问题一直是该部门关注的焦点和公共信息。;-;近几个月来，边境安全和移民主导了该部门的注意力和公共信息。;-;近几个月来，边境安全和移民一直主导着该部门的注意力和公共信息。;-;2-3;1x2;1x3
